Date,Renewables_Production_MWh,GrossProduction_MWh,Max_Demand_MW,Imports_MWh,Plant_Production_MWh,Exports_MWh,Supply_MWh
2018-01-01 00:00:00+00:00,"10,301","115,354",371,"88,723","105,053",21,"201,163"
2018-02-01 00:00:00+00:00,"10,117","157,489",410,"36,626","147,372",556,"190,135"
2018-03-01 00:00:00+00:00,"18,805","119,662",360,"76,788","100,857",7,"193,511"
2018-04-01 00:00:00+00:00,"19,469","106,999",331,"79,455","87,530",30,"183,642"
2018-05-01 00:00:00+00:00,"21,501","164,502",344,"35,625","143,001","1,094","195,962"
2018-06-01 00:00:00+00:00,"22,242","161,392",378,"55,534","139,150",896,"211,873"
2018-07-01 00:00:00+00:00,"22,066","218,979",452,"45,846","196,913",723,"258,326"
2018-08-01 00:00:00+00:00,"19,660","220,225",465,"52,598","200,565","1,510","266,015"
2018-09-01 00:00:00+00:00,"16,369","192,215",460,"53,889","175,846",633,"240,447"
2018-10-01 00:00:00+00:00,"14,009","174,009",366,"38,518","160,000",302,"207,512"
2018-11-01 00:00:00+00:00,"11,734","170,322",348,"25,078","158,588","1,105","189,387"
2018-12-01 00:00:00+00:00,"12,722","161,332",366,"42,613","148,610","3,674","195,041"
2019-01-01 00:00:00+00:00,"10,449","183,328",443,"46,959","172,879",400,"224,757"
2019-02-01 00:00:00+00:00,"11,927","143,504",427,"60,593","131,577",214,"199,537"
2019-03-01 00:00:00+00:00,"16,833","145,214",389,"58,857","128,381",473,"199,279"
2019-04-01 00:00:00+00:00,"17,848","148,931",357,"44,681","131,083","3,048","186,043"
2019-05-01 00:00:00+00:00,"21,524","168,549",334,"34,195","147,025","8,455","189,430"
2019-06-01 00:00:00+00:00,"22,853","192,740",449,"45,459","169,887","1,545","231,398"
2019-07-01 00:00:00+00:00,"23,398","201,740",504,"82,336","178,342",31,"278,548"
2019-08-01 00:00:00+00:00,"21,644","220,449",485,"69,462","198,805",54,"283,842"
2019-09-01 00:00:00+00:00,"18,013","174,769",432,"68,754","156,756",22,"238,350"
2019-10-01 00:00:00+00:00,"15,060","170,070",390,"56,059","155,010","5,329","215,510"
2019-11-01 00:00:00+00:00,"11,817","141,493",370,"55,498","129,676",343,"192,023"
2019-12-01 00:00:00+00:00,"10,478","169,041",392,"33,903","158,563",538,"198,795"
2020-01-01 00:00:00+00:00,"12,004","223,839",435,0,"211,835",0,"218,442"
2020-02-01 00:00:00+00:00,"16,341","200,266",406,0,"183,925",0,"195,224"
2020-03-01 00:00:00+00:00,"18,018","176,105",397,"25,325","158,087",260,"196,317"
2020-04-01 00:00:00+00:00,"22,288","160,275",346,"13,877","137,987",901,"168,431"
2020-05-01 00:00:00+00:00,"26,213","172,373",321,"7,354","146,160","1,328","173,347"
2020-06-01 00:00:00+00:00,"28,177","192,345",389,"4,093","164,168","1,248","189,708"
2020-07-01 00:00:00+00:00,"27,637","214,804",456,"42,207","187,167",151,"250,910"
2020-08-01 00:00:00+00:00,"25,947","217,389",482,"66,826","191,442",30,"277,633"
2020-09-01 00:00:00+00:00,"20,218","183,706",448,"57,769","163,488",158,"235,752"
2020-10-01 00:00:00+00:00,"19,496","157,662",437,"51,785","138,166",108,"204,114"
2020-11-01 00:00:00+00:00,"14,156","107,413",346,"82,721","93,257",11,"186,570"
2020-12-01 00:00:00+00:00,"12,319","136,899",376,"67,853","124,580",37,"199,955"
2021-01-01 00:00:00+00:00,"14,316","146,115",419,"70,314","131,799",140,"211,928"
2021-02-01 00:00:00+00:00,"19,685","151,124",426,"39,421","131,439",384,"186,036"
2021-03-01 00:00:00+00:00,"24,608","159,822",399,"43,981","135,214","1,187","198,358"
2021-04-01 00:00:00+00:00,"23,572","193,181",335,"4,868","169,609","14,483","179,073"
2021-05-01 00:00:00+00:00,"28,790","192,490",319,"10,813","163,700","11,470","187,183"
2021-06-01 00:00:00+00:00,"28,102","216,510",541,"25,455","188,408","6,512","230,524"
2021-07-01 00:00:00+00:00,"29,061","243,886",529,"50,439","214,825","1,059","287,728"
2021-08-01 00:00:00+00:00,"26,090","235,944",565,"77,974","209,854",11,"308,643"
2021-09-01 00:00:00+00:00,"23,529","178,636",476,"81,344","155,107",15,"255,590"
2021-10-01 00:00:00+00:00,"17,621","177,100",420,"37,800","159,479",500,"209,980"
2021-11-01 00:00:00+00:00,"13,589","155,232",399,"47,435","141,643",46,"198,588"
2021-12-01 00:00:00+00:00,"14,099","164,840",433,"57,406","150,741",79,"218,018"
2022-01-01 00:00:00+00:00,"16,589","173,417",503,"64,302","156,828",34,"233,510"
2022-02-01 00:00:00+00:00,"20,334","162,461",472,"46,443","142,127",133,"204,972"
2022-03-01 00:00:00+00:00,"22,616","187,564",462,"46,012","164,948",111,"229,304"
2022-04-01 00:00:00+00:00,"24,745","131,942",374,"68,261","107,197",128,"197,046"
2022-05-01 00:00:00+00:00,"33,125","179,388",415,"33,775","146,263","1,845","207,655"
2022-06-01 00:00:00+00:00,"34,544","214,232",544,"49,878","179,688",161,"259,352"
2022-07-01 00:00:00+00:00,"32,417","249,022",581,"75,078","216,605",52,"318,845"
2022-08-01 00:00:00+00:00,"30,335","237,553",575,"84,733","207,218",10,"317,191"
2022-09-01 00:00:00+00:00,"25,780","201,238",531,"76,455","175,458",131,"273,011"
2022-10-01 00:00:00+00:00,"23,846","164,124",411,"66,130","140,278",121,"225,886"
2022-11-01 00:00:00+00:00,"16,788","199,398",411,"13,054","182,610","1,497","206,396"
2022-12-01 00:00:00+00:00,"15,839","193,126",404,"22,018","177,287s","2,630","207,776"
